,Loss,S1,S2,S2_Call,S1_Call,S2_Put,S1_Put,Date,Symbol
482,-1979.0,104.0,114.0,0.005,-4.25,-5.55,0.005,2023-04-28,GOOGL
416,-1979.0,104.0,114.0,0.005,-4.25,-5.55,0.005,2023-04-21,GOOGL
284,-1979.0,104.0,114.0,0.005,-4.25,-5.55,0.005,2023-04-06,GOOGL
114,-1958.5,162.5,172.5,0.005,-2.095,-7.5,0.005,2023-04-14,AAPL
48,-1958.5,162.5,172.5,0.005,-2.095,-7.5,0.005,2023-04-06,AAPL
180,-1958.5,162.5,172.5,0.005,-2.095,-7.5,0.005,2023-04-21,AAPL
246,-1958.5,162.5,172.5,0.005,-2.095,-7.5,0.005,2023-04-28,AAPL
59,-1913.0,167.5,177.5,0.005,-0.005,-12.6,3.4699999999999998,2023-04-06,AAPL
191,-1913.0,167.5,177.5,0.005,-0.005,-12.6,3.4699999999999998,2023-04-21,AAPL
125,-1913.0,167.5,177.5,0.005,-0.005,-12.6,3.4699999999999998,2023-04-14,AAPL
257,-1913.0,167.5,177.5,0.005,-0.005,-12.6,3.4699999999999998,2023-04-28,AAPL
359,-1809.5,105.0,114.0,0.005,-3.555,-5.55,0.005,2023-04-14,GOOGL
491,-1809.5,105.0,114.0,0.005,-3.555,-5.55,0.005,2023-04-28,GOOGL
425,-1809.5,105.0,114.0,0.005,-3.555,-5.55,0.005,2023-04-21,GOOGL
293,-1809.5,105.0,114.0,0.005,-3.555,-5.55,0.005,2023-04-06,GOOGL
404,-1804.9999999999998,103.0,112.0,0.005,-5.8,-3.2600000000000002,0.005,2023-04-21,GOOGL
272,-1804.9999999999998,103.0,112.0,0.005,-5.8,-3.2600000000000002,0.005,2023-04-06,GOOGL
470,-1804.9999999999998,103.0,112.0,0.005,-5.8,-3.2600000000000002,0.005,2023-04-28,GOOGL
338,-1804.9999999999998,103.0,112.0,0.005,-5.8,-3.2600000000000002,0.005,2023-04-14,GOOGL
547,-1804.0,98.0,107.0,0.005,-4.075,-4.975,0.005,2023-04-06,AMZN
613,-1804.0,98.0,107.0,0.005,-4.075,-4.975,0.005,2023-04-14,AMZN
679,-1804.0,98.0,107.0,0.005,-4.075,-4.975,0.005,2023-04-21,AMZN
745,-1804.0,98.0,107.0,0.005,-4.075,-4.975,0.005,2023-04-28,AMZN
800,-1801.5,87.0,96.0,0.005,-5.475,-3.55,0.005,2023-04-06,AMD
877,-1801.5,88.0,97.0,0.005,-4.475,-4.550000000000001,0.005,2023-04-14,AMD
943,-1801.5,88.0,97.0,0.005,-4.475,-4.550000000000001,0.005,2023-04-21,AMD
811,-1801.5,88.0,97.0,0.005,-4.475,-4.550000000000001,0.005,2023-04-06,AMD
866,-1801.5,87.0,96.0,0.005,-5.475,-3.55,0.005,2023-04-14,AMD
1019,-1801.5,89.0,98.0,0.005,-3.475,-5.550000000000001,0.005,2023-04-28,AMD
953,-1801.5,89.0,98.0,0.005,-3.475,-5.550000000000001,0.005,2023-04-21,AMD
821,-1801.5,89.0,98.0,0.005,-3.475,-5.550000000000001,0.005,2023-04-06,AMD
932,-1801.5,87.0,96.0,0.005,-5.475,-3.55,0.005,2023-04-21,AMD
998,-1801.5,87.0,96.0,0.005,-5.475,-3.55,0.005,2023-04-28,AMD
887,-1801.5,89.0,98.0,0.005,-3.475,-5.550000000000001,0.005,2023-04-14,AMD
1009,-1801.5,88.0,97.0,0.005,-4.475,-4.550000000000001,0.005,2023-04-28,AMD
689,-1797.9999999999998,99.0,108.0,0.005,-3.015,-5.975,0.005,2023-04-21,AMZN
557,-1797.9999999999998,99.0,108.0,0.005,-3.015,-5.975,0.005,2023-04-06,AMZN
755,-1797.9999999999998,99.0,108.0,0.005,-3.015,-5.975,0.005,2023-04-28,AMZN
623,-1797.9999999999998,99.0,108.0,0.005,-3.015,-5.975,0.005,2023-04-14,AMZN
602,-1796.5,97.0,106.0,0.005,-5.025,-3.9499999999999997,0.005,2023-04-14,AMZN
734,-1796.5,97.0,106.0,0.005,-5.025,-3.9499999999999997,0.005,2023-04-28,AMZN
536,-1796.5,97.0,106.0,0.005,-5.025,-3.9499999999999997,0.005,2023-04-06,AMZN
668,-1796.5,97.0,106.0,0.005,-5.025,-3.9499999999999997,0.005,2023-04-21,AMZN
415,-1745.0,104.0,113.0,0.005,-4.25,-4.21,0.005,2023-04-21,GOOGL
349,-1745.0,104.0,113.0,0.005,-4.25,-4.21,0.005,2023-04-14,GOOGL
283,-1745.0,104.0,113.0,0.005,-4.25,-4.21,0.005,2023-04-06,GOOGL
